,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
Xeon w3-2423,120,6,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w3-2423.c3120,
Xeon w3-2425,130,6,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w3-2425.c3119,
Xeon w3-2435,165,8,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w3-2435.c3118,
Xeon w5-2445,175,10,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w5-2445.c3117,
Xeon w5-2455X,200,12,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w5-2455x.c3116,
Xeon w5-2465X,200,16,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w5-2465x.c3115,
Xeon w5-3425,270,12,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w5-3425.c3112,
Xeon w5-3435X,270,16,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w5-3435x.c3111,
Xeon w7-2475X,225,20,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-2475x.c3114,
Xeon w7-2495X,225,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-2495x.c3113,
Xeon w7-3445,270,20,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-3445.c3110,
Xeon w7-3455,270,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-3455.c3109,
Xeon w7-3465X,300,28,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w7-3465x.c3108,
Xeon w9-3475X,300,36,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-w9-3475x.c3107,
